case_number,latitude,longitude,cluster
JK235826,41.870472,-87.743744,7
JK235790,41.894897,-87.75972,7
JK236704,41.76948,-87.67123,1
JK236729,41.764103,-87.690575,1
JK236399,41.88946,-87.62422,5
JK238136,41.789204,-87.591545,6
JK238464,41.766838,-87.575096,0
JK237101,41.745197,-87.60137,0
JK235861,41.996365,-87.69959,2
JK237024,41.68534,-87.720116,4
JK235803,41.789528,-87.7989,1
JK235816,41.9531,-87.67261,2
JK237336,41.74699,-87.60263,0
JK238161,41.881203,-87.64734,5
JK235886,41.953197,-87.765656,3
JK240258,41.802208,-87.67454,1
JK243117,41.706333,-87.642815,4
JK236278,41.80172,-87.63071,6
JK235828,41.953403,-87.7481,3
JK235811,41.757168,-87.64299,6
JK235929,41.918156,-87.65006,5
JK235827,41.72615,-87.57271,0
JK235817,41.723267,-87.53681,0
JK235859,41.903988,-87.7625,3
JK236540,41.76864,-87.62019,6
JK236932,41.877563,-87.68479,7
JK235761,41.95344,-87.74496,3
JK241686,41.907974,-87.77192,3
JK235775,41.79956,-87.61772,6
JK235814,41.858635,-87.64484,5
JK235782,41.88518,-87.64275,5
JK235807,41.735237,-87.65697,4
JK235767,41.861336,-87.62569,5
JK235751,41.86639,-87.707275,7
JK235962,41.802498,-87.586044,6
JK236859,41.692043,-87.665924,4
JK237753,41.7315,-87.65807,4
JK236667,41.77148,-87.63335,6
JK235800,41.999138,-87.66554,2
JK235747,41.677654,-87.62264,4
JK235750,41.88233,-87.62784,5
JK235729,41.880276,-87.72321,7
JK243834,41.749557,-87.69053,1
JK237601,41.768177,-87.629845,6
JK237315,41.94583,-87.67127,2
JK240463,41.803123,-87.66647,1
JK236431,41.722134,-87.59934,0
JK239318,41.975224,-87.68793,2
JK235721,41.883476,-87.62788,5
JK235780,41.895878,-87.706566,7
JK235881,41.785847,-87.60758,6
JK235703,41.915714,-87.746056,3
JK236903,41.882393,-87.627846,5
JK235738,41.828552,-87.621704,6
JK236533,41.812805,-87.71132,1
JK235964,41.831013,-87.61732,6
JK235702,41.922062,-87.692764,2
JK237414,41.86721,-87.6428,5
JK236209,41.92786,-87.669464,2
JK238107,41.7799,-87.63583,6
JK236576,41.94266,-87.64013,2
JK239378,41.885754,-87.62692,5
JK235736,41.76894,-87.5813,0
JK236583,41.775085,-87.66657,1
JK235698,41.874886,-87.737724,7
JK235689,41.965755,-87.65479,2
JK235708,41.936882,-87.64819,2
JK238229,41.721302,-87.655876,4
JK244238,41.87468,-87.680565,5
JK235690,41.809917,-87.62981,6
JK235691,41.928,-87.735886,3
JK235681,41.69753,-87.61961,4
JK235674,41.765266,-87.60921,6
JK237914,41.870018,-87.72593,7
JK235687,41.87577,-87.75388,7
JK235841,41.88447,-87.6331,5
JK237242,41.74505,-87.60137,0
JK236714,41.810078,-87.611465,6
JK236614,41.7547,-87.56508,0
JK239716,41.755146,-87.58413,0
JK235955,41.929592,-87.66952,2
JK236741,41.699066,-87.679344,4
JK241391,41.9934,-87.71228,2
JK236041,41.780212,-87.597244,6
JK239002,41.760162,-87.58352,0
JK244211,41.87251,-87.66476,5
JK235666,41.891968,-87.76053,7
JK235683,41.75238,-87.634346,6
JK236908,41.958797,-87.7555,3
JK235665,41.85574,-87.72362,7
JK235757,41.747196,-87.60264,0
JK235652,41.910007,-87.67689,2
JK235639,41.808582,-87.619576,6
JK235916,41.900505,-87.69929,7
JK235658,41.873466,-87.70345,7
JK235625,41.94654,-87.736084,3
JK235838,41.891403,-87.74434,7
JK236661,41.90734,-87.695694,7
JK236842,41.88186,-87.72409,7
JK235668,41.708252,-87.62835,4
JK235669,41.695843,-87.61224,4
JK238726,41.858345,-87.72118,7
JK235586,41.844196,-87.728645,7
JK235607,41.690056,-87.60594,4
JK235593,41.871338,-87.62592,5
JK235570,41.88236,-87.75584,7
JK235617,41.72194,-87.57899,0
JK235585,41.76418,-87.66501,1
JK235976,41.953224,-87.671455,2
JK235874,41.75138,-87.701225,1
JK235576,41.89726,-87.671745,5
JK235579,41.871834,-87.70942,7
JK235856,41.882114,-87.63236,5
JK240667,41.95415,-87.74054,3
JK235581,41.862865,-87.71419,7
JK236692,41.999245,-87.70746,2
JK235616,41.775475,-87.649536,6
JK235642,41.746212,-87.63541,4
JK236073,41.815834,-87.62138,6
JK235532,41.91146,-87.766815,3
JK235533,41.880783,-87.62672,5
JK235523,41.8543,-87.62282,5
JK235636,41.873466,-87.70345,7
JK235536,41.87297,-87.68701,7
JK235704,41.74566,-87.56614,0
JK235563,41.811188,-87.74971,1
JK236155,41.824547,-87.63318,6
JK237705,41.75907,-87.632065,6
JK235560,41.744614,-87.55464,0
JK235509,41.771713,-87.6543,6
JK235571,41.75024,-87.67235,1
JK235590,41.954884,-87.66907,2
JK235788,41.946648,-87.70209,2
JK235774,41.98288,-87.79144,3
JK235530,41.737957,-87.60122,0
JK235516,41.886795,-87.648026,5
JK235492,41.82864,-87.66852,1
JK235497,41.712833,-87.5389,0
JK235656,41.8737,-87.704704,7
JK236764,41.867535,-87.70326,7
JK235473,41.695988,-87.59665,4
JK235469,41.94524,-87.71267,2
JK244216,41.930893,-87.64402,2
JK236430,41.749702,-87.713135,1
JK235633,41.927933,-87.64507,2
JK236925,41.802505,-87.66846,1
JK239267,41.88956,-87.62019,5
JK237011,41.830997,-87.62749,6
JK236279,41.788704,-87.5964,6
JK236147,41.956844,-87.68229,2
JK235514,41.884964,-87.62792,5
JK235510,41.867535,-87.70326,7
JK235764,41.98288,-87.79144,3
JK235460,41.808292,-87.62281,6
JK235453,41.92151,-87.671036,2
JK235482,41.694363,-87.626564,4
JK235436,41.871536,-87.70339,7
JK238204,41.96573,-87.650024,2
JK235515,41.75412,-87.70746,1
JK235531,41.762436,-87.71114,1
JK235499,41.779877,-87.70434,1
JK243035,41.74546,-87.69495,1
JK235431,41.88172,-87.62436,5
JK236346,41.91244,-87.66848,5
JK235420,41.79688,-87.67317,1
JK237744,41.762222,-87.66111,1
JK243525,41.974533,-87.77942,3
JK238225,41.75673,-87.56001,0
JK235439,41.783318,-87.593124,6
JK235442,41.783318,-87.593124,6
JK235392,41.908546,-87.765884,3
JK235383,41.892883,-87.76891,7
JK236325,41.773373,-87.58312,0
JK235405,41.783955,-87.70328,1
JK235483,41.794674,-87.62357,6
JK235395,41.703003,-87.61853,4
JK235350,41.870037,-87.742455,7
JK235384,41.812412,-87.62129,6
JK235878,41.89279,-87.70401,7
JK237283,41.89347,-87.632645,5
JK235377,41.882557,-87.73063,7
JK235400,41.77615,-87.615524,6
JK235357,41.815575,-87.69246,1
JK235525,41.685387,-87.61646,4
JK235451,41.74532,-87.6038,0
JK235789,41.722095,-87.6627,4
JK235821,41.83981,-87.61714,5
JK235351,41.89962,-87.71645,7
JK235313,41.745956,-87.54793,0
JK238276,41.79562,-87.620865,6
JK236089,41.725513,-87.61598,4
JK235406,41.778732,-87.68485,1
JK241503,41.88756,-87.61749,5
JK235837,41.99759,-87.69795,2
JK235329,41.894146,-87.7175,7
JK235488,41.81757,-87.665184,1
JK235319,41.813198,-87.699265,1
JK235274,41.82564,-87.61756,6
JK235323,41.848164,-87.70331,7
JK235494,41.925354,-87.737404,3
JK235435,41.899975,-87.71646,7
JK235520,41.901493,-87.72018,7
JK235283,41.736256,-87.628204,4
JK235269,41.797153,-87.67318,1
JK235314,41.98872,-87.66838,2
JK235270,41.76119,-87.63335,6
JK235291,41.8468,-87.62353,5
JK235294,41.705677,-87.600945,4
JK235256,41.942196,-87.68825,2
JK235304,41.889908,-87.6241,5
JK235645,41.936337,-87.65071,2
JK235259,41.859905,-87.72621,7
JK235541,41.825195,-87.61702,6
JK235331,41.889187,-87.65457,5
JK235299,41.82815,-87.66668,1
JK236153,41.784588,-87.65341,6
JK235766,41.854893,-87.67102,5
JK235249,41.818172,-87.63476,6
JK235566,41.893837,-87.760605,7
JK235235,41.923977,-87.7663,3
JK235232,41.808426,-87.68504,1
JK235240,41.915993,-87.74842,3
JK235271,41.808426,-87.68504,1
JK235393,41.89551,-87.71065,7
JK236300,41.795975,-87.76068,1
JK235229,41.94732,-87.64979,2
JK235293,41.898,-87.7164,7
JK236688,41.95179,-87.65204,2
JK235264,41.89716,-87.635704,5
JK235268,41.897396,-87.636185,5
JK235315,41.912197,-87.7631,3
JK235650,41.89779,-87.68689,7
JK235224,41.77557,-87.65076,6
JK237411,41.81804,-87.59811,6
JK235226,41.903225,-87.749504,7
JK235230,41.85382,-87.627106,5
JK235228,41.74366,-87.55408,0
JK235362,41.79329,-87.66093,6
JK235227,41.93385,-87.76388,3
JK235424,41.803535,-87.74183,1
JK235239,41.87346,-87.723206,7
JK235220,41.877182,-87.681435,5
JK235217,41.97639,-87.65544,2
JK235719,41.828426,-87.64361,6
JK235282,41.79991,-87.74295,1
JK235663,41.863464,-87.65223,5
JK235746,41.778748,-87.65569,6
JK235643,41.870472,-87.74362,7
JK235753,41.863464,-87.65223,5
JK235287,41.97043,-87.65625,2
JK235251,41.791187,-87.69617,1
JK235218,41.788986,-87.74148,1
JK235742,41.931133,-87.67168,2
JK235212,41.68041,-87.660255,4
JK235412,41.874126,-87.63362,5
JK235214,41.964382,-87.881134,3
JK236664,41.748203,-87.65489,4
JK236981,41.69399,-87.658035,4
JK235211,41.874363,-87.64301,5
JK235221,41.72885,-87.554115,0
JK235477,41.83495,-87.66806,5
JK235772,41.743942,-87.60663,0
JK235203,41.756813,-87.55542,0
JK235210,41.84961,-87.6406,5
JK235205,41.88802,-87.62544,5
JK235197,41.909454,-87.75945,3
JK235332,41.877567,-87.642525,5
JK235906,41.972187,-87.66953,2
JK235367,41.89951,-87.72254,7
JK235973,41.89445,-87.62972,5
JK235195,41.89212,-87.685875,7
JK235213,41.795147,-87.671906,1
JK235194,41.892666,-87.72356,7
JK235204,41.83413,-87.66875,5
JK235193,41.765285,-87.57709,0
JK235429,41.834126,-87.669044,5
JK235192,41.788303,-87.62554,6
JK235692,41.76782,-87.66147,1
JK236139,41.951637,-87.667435,2
JK235238,41.828236,-87.64117,6
JK235556,41.834736,-87.66699,5
