case_number,latitude,longitude,cluster
JK141082,41.73918,-87.624214,5
JK181618,41.863583,-87.72266,4
JK212751,41.887794,-87.767296,0
JK146626,41.870773,-87.733406,4
JK170274,41.7866,-87.620636,5
JK146945,41.869232,-87.69524,4
JK148368,41.953438,-87.74626,0
JK214709,41.80246,-87.68552,3
JK190802,41.754402,-87.55064,7
JK221340,41.78057,-87.59107,7
JK165476,41.73351,-87.56058,7
JK164931,41.852833,-87.63337,2
JK158934,41.891758,-87.71904,0
JK186568,41.906754,-87.64709,1
JK212234,41.9506,-87.752975,0
JK193413,41.917526,-87.759125,0
JK157221,41.691433,-87.641136,6
JK176580,41.78649,-87.62225,5
JK143175,41.779198,-87.6156,5
JK179003,41.758385,-87.57002,7
JK153330,41.87256,-87.72366,4
JK148854,41.81095,-87.70285,3
JK202424,41.891094,-87.70642,0
JK197988,41.883324,-87.72901,4
JK234999,41.93152,-87.74786,0
JK175158,41.67785,-87.63873,6
JK236008,41.93556,-87.77004,0
JK163105,41.77842,-87.69703,3
JK201240,41.882324,-87.73553,4
JK147338,41.93786,-87.68814,1
JK236122,41.877674,-87.62766,2
JK186092,41.886005,-87.658875,4
JK141770,41.751255,-87.60692,7
JK144545,41.885345,-87.70981,4
JK186517,41.9263,-87.76972,0
JK148644,41.854565,-87.70169,4
JK181392,41.77172,-87.70782,3
JK142759,41.781666,-87.597855,7
JK219283,41.794174,-87.703575,3
JK179272,41.86976,-87.62412,2
JK192334,41.93388,-87.782135,0
JK232194,41.900192,-87.628296,2
JK185409,41.678757,-87.66021,6
JK150663,41.864098,-87.71395,4
JK215178,41.877113,-87.723816,4
JK156150,41.787857,-87.71627,3
JK201683,41.870125,-87.65224,4
JK147600,41.903927,-87.629654,2
JK196724,41.81426,-87.62297,2
JK141464,41.952908,-87.78726,0
JK176587,41.707207,-87.62084,6
JK198623,41.88171,-87.753456,0
JK159535,41.729427,-87.67747,6
JK154552,41.70584,-87.66921,6
JK197104,41.96732,-87.71822,1
JK210803,41.766556,-87.680084,5
JK164814,41.740925,-87.63996,5
JK170078,41.910725,-87.678,1
JK231376,41.7336,-87.63503,6
JK204328,41.880238,-87.765274,0
JK160031,41.997612,-87.793976,0
JK142164,41.696312,-87.61755,6
JK204626,41.80986,-87.64557,3
JK198889,41.90672,-87.75098,0
JK143496,41.680943,-87.5371,7
JK149763,41.67339,-87.62492,6
JK164883,41.988632,-87.81283,0
JK174266,41.929745,-87.68427,1
JK198535,41.838226,-87.632286,2
JK220704,41.879692,-87.73153,4
JK152228,41.875805,-87.750786,4
JK233950,41.933186,-87.75964,0
JK195171,41.968426,-87.71123,1
JK232390,41.779015,-87.66421,3
JK220598,41.89026,-87.629616,2
JK165028,41.757454,-87.62313,5
JK227860,41.9093,-87.68116,1
JK165174,41.866333,-87.66638,4
JK168893,41.86175,-87.712845,4
JK207866,41.766987,-87.61167,5
JK188515,41.805843,-87.66367,3
JK153901,41.74558,-87.55399,7
JK144237,41.94769,-87.64626,1
JK195438,41.728336,-87.58502,7
JK233407,41.965656,-87.73657,1
JK218215,41.76662,-87.6185,5
JK230987,41.921562,-87.71201,0
JK193320,41.84388,-87.62043,2
JK147503,41.90577,-87.76487,0
JK213789,41.908432,-87.63851,2
JK144832,41.762955,-87.623245,5
JK202237,41.910534,-87.65383,1
JK219581,41.801132,-87.61773,5
JK235413,41.673325,-87.634544,6
JK219588,41.97527,-87.75352,0
JK143001,41.874214,-87.63168,2
JK186862,41.713333,-87.62846,6
JK157731,41.772217,-87.62835,5
JK226112,41.852882,-87.63553,2
JK208550,41.82142,-87.62478,2
JK232411,41.83806,-87.70484,4
JK158449,41.705677,-87.600945,6
JK184063,41.905823,-87.62798,2
JK145715,41.92428,-87.74318,0
JK178511,41.78334,-87.6157,5
JK206194,41.85257,-87.72586,4
JK165694,41.893543,-87.6297,2
JK167801,41.88486,-87.750336,0
JK218754,41.771137,-87.668846,5
JK154531,41.969627,-87.65483,1
JK208963,41.96525,-87.66819,1
JK226672,41.92348,-87.75366,0
JK165442,41.92046,-87.67083,1
JK145693,41.874863,-87.75383,4
JK211143,41.778988,-87.665474,3
JK223430,41.982162,-87.6685,1
JK204834,41.89003,-87.63034,2
JK150379,41.93005,-87.68592,1
JK190344,41.85444,-87.71755,4
JK231642,41.959896,-87.77212,0
JK215569,41.780876,-87.77405,3
JK216293,41.794464,-87.77056,3
JK173982,41.78063,-87.65089,3
JK152145,41.80967,-87.59443,5
JK209560,41.692577,-87.62379,6
JK176957,41.934982,-87.79805,0
JK230952,41.870735,-87.723976,4
JK176253,41.871574,-87.73372,4
JK196270,41.85273,-87.70139,4
JK149442,41.96226,-87.652336,1
JK156516,41.76346,-87.57931,7
JK178506,41.722923,-87.59481,7
JK194069,41.879383,-87.634125,2
JK145889,41.994427,-87.6709,1
JK201180,41.81877,-87.68471,3
JK145670,41.901783,-87.71896,0
JK157564,41.801514,-87.61774,5
JK208630,41.93173,-87.64077,1
JK197064,41.773064,-87.69202,3
JK231715,41.775932,-87.77744,3
JK190329,41.65862,-87.60555,6
JK211174,41.98176,-87.71248,1
JK172981,41.898373,-87.62504,2
JK170402,41.88233,-87.62784,2
JK221408,41.93824,-87.68074,1
JK231397,41.947803,-87.66403,1
JK192097,41.948677,-87.67938,1
JK201420,41.885933,-87.64865,4
JK166276,41.858303,-87.71275,4
JK218632,41.934402,-87.657005,1
JK188707,41.890015,-87.63167,2
JK215249,41.975517,-87.72937,1
JK216650,41.768497,-87.63723,5
JK199959,41.79634,-87.59037,5
JK174810,41.717686,-87.53837,7
JK154666,41.87568,-87.62657,2
JK208599,41.817654,-87.623055,2
JK230589,41.82965,-87.61445,2
JK222996,41.861885,-87.71407,4
JK158181,41.94651,-87.756935,0
JK219907,41.882526,-87.62438,2
JK197289,41.85275,-87.640816,2
JK235437,41.853058,-87.65019,4
JK142819,41.946648,-87.70209,1
JK212787,41.78772,-87.72644,3
JK171958,41.938747,-87.64047,1
