tSNE1,tSNE2
73.07045,1.5534874
-33.1764,-47.64427
-21.904938,-43.04536
-45.621243,25.890001
-7.8728485,12.08857
6.899207,50.893612
-56.662323,-13.789977
18.327765,13.272172
-31.186798,-46.39989
62.834312,-3.223437
-44.46623,5.850642
25.651554,-22.994406
50.913727,-52.202423
39.549072,37.280674
15.650065,-51.829014
12.013437,-5.623724
-3.0255349,61.561745
58.38266,-51.02422
-26.220755,-48.593983
40.30765,40.693047
18.432178,-31.547043
17.284445,-65.73729
43.129528,25.06387
-63.65733,21.855646
79.008125,-12.840535
-61.548813,-8.876022
79.77497,-11.260897
37.595753,-12.880832
-61.69911,-5.1423464
-10.208682,65.79724
-72.00174,14.925388
-0.6281066,6.9240246
-67.50926,1.9716842
13.522735,-10.40273
-30.743643,-47.666565
-5.0502443,37.553474
-11.400525,52.970837
45.496445,-38.660553
-35.3345,22.303104
-1.6701565,2.7316537
43.874622,2.8989034
3.1694345,39.018066
-2.9650702,67.90876
59.19768,-35.783512
-51.022755,-4.5100083
-46.745926,19.340977
41.62847,26.267267
47.914295,-49.24201
-9.258475,7.9802127
78.08577,-6.8086796
-19.157295,-14.311278
-0.77902794,60.367172
-48.484142,-9.777617
82.34985,-7.6020284
17.035563,-66.54157
-47.086098,-47.78464
7.881194,48.376152
76.54319,-7.2094607
39.300423,41.30195
48.807995,7.890399
42.824387,39.853085
-54.295517,30.508024
42.72449,28.5334
15.066635,-62.053513
18.461805,54.89713
-0.20619293,49.53357
-11.9815445,-43.820312
-44.558544,-4.756157
25.437841,-9.592358
-35.51972,-34.785316
20.39849,-54.472492
-66.27733,-3.541293
-17.460745,61.547855
-29.12496,-40.273663
-20.415295,54.892746
46.265987,-48.279644
-69.3597,-7.863795
-30.599785,-41.58753
-12.184019,57.69324
-37.96964,-46.791367
-36.148643,19.933651
-7.3082533,71.735016
36.610428,-12.201899
-55.28094,30.386301
-61.659588,0.30671948
-11.481679,-10.792901
-42.110157,28.232958
20.186083,66.22087
30.369595,8.048034
37.71132,-13.190186
28.31786,7.2180977
-59.113976,10.538756
-35.674473,16.074667
1.198768,10.829345
-61.137066,-4.656187
71.55499,-1.3313495
-43.032024,-8.284201
9.195893,-56.449017
-64.77745,-11.73477
-42.32286,20.516376
-19.47741,-53.229645
11.007,41.869495
0.07666471,51.522194
-30.209816,-50.534435
-41.483116,1.8721058
61.136196,-42.68894
-62.43421,8.989344
73.76257,7.038866
-40.42032,27.745583
31.362696,13.556766
-29.439093,-55.529118
-0.94958526,63.178917
-36.832367,-3.2749834
-42.70715,-42.566055
-43.53545,-39.282394
2.151325,52.892864
-4.0976667,74.29338
-37.86128,-40.33001
58.86721,-35.304317
29.028547,11.9417305
-60.79653,15.5536785
-62.911205,-3.8677142
-42.450462,-7.7201962
-17.56787,47.880318
-14.432192,-58.363487
-18.20495,-55.273193
15.449349,-51.999527
6.957385,39.927876
-6.6600637,43.415005
-38.961002,-5.0862346
15.925842,-63.188465
31.38468,0.7325058
-28.632275,-49.132515
-0.27759835,52.658165
